centre,age,n,y
1,25,3,0
1,35,11,0
1,45,27,9
1,55,36,16
1,65,2,0
2,25,7,3
2,35,8,1
2,45,15,4
2,55,31,10
2,65,15,7
3,25,15,6
3,35,11,3
3,45,14,2
3,55,30,7
3,65,5,0
4,25,14,1
4,35,6,1
4,45,23,2
4,55,32,10
4,65,16,5
5,25,14,3
5,35,6,1
5,45,19,4
5,55,28,5
5,65,7,0
6,25,11,2
6,35,12,1
6,45,23,3
6,55,51,12
6,65,9,3
7,25,16,5
7,35,19,6
7,45,34,5
7,55,39,9
7,65,26,11
8,25,9,1
8,35,7,2
8,45,28,3
8,55,25,4
8,65,4,0
9,25,33,6
9,35,17,7
9,45,42,12
9,55,42,11
9,65,18,4
10,25,31,13
10,35,7,2
10,45,28,5
10,55,34,8
10,65,1,0
